title,url,inserted_at,wikidata_id,description
Lights out (manufacturing),http://en.m.wikipedia.org/wiki/Lights_out_(manufacturing),2015-03-18 13:18:45,Q3063795,
Veblen good,http://en.m.wikipedia.org/wiki/Veblen_good,2015-03-12 11:52:52,Q1074135,
Albatross (metaphor),https://en.m.wikipedia.org/wiki/Albatross_(metaphor),2018-11-14 15:03:17,Q4709452,Metaphor
Alfred Korzybski,https://en.m.wikipedia.org/wiki/Alfred_Korzybski,2017-07-06 20:01:44,Q333402,
Astroturfing,https://en.m.wikipedia.org/wiki/Astroturfing,2017-02-12 08:28:34,Q752177,"Marketing tactic of creating ""grassroots"" organizations"
Japanese Peruvians,https://en.m.wikipedia.org/wiki/Japanese_Peruvians#The_Nikkei_cuisine,2020-01-25 19:23:39,Q3274441,
At-will employment,https://en.m.wikipedia.org/wiki/At-will_employment,2019-02-23 16:45:56,Q4812279,
Attention economy,https://en.m.wikipedia.org/wiki/Attention_economy,2017-06-26 14:53:08,Q295287,economic view of human attention as a commodity
Autodidacticism,https://en.m.wikipedia.org/wiki/Autodidacticism,2018-07-21 01:05:42,Q207650,Independent education without the guidance of masters
Battered person syndrome,https://en.m.wikipedia.org/wiki/Battered_person_syndrome,2017-06-16 14:06:31,Q2911296,
Betel nut beauty,https://en.m.wikipedia.org/wiki/Betel_nut_beauty,2018-08-02 11:27:45,Q713184,
Blue Moon (beer),https://en.m.wikipedia.org/wiki/Blue_Moon_(beer),2018-08-01 06:49:18,Q8248915,
Bright-line rule,https://en.m.wikipedia.org/wiki/Bright-line_rule,2017-06-12 07:04:51,Q4967356,Judicial test using clearly defined and objective factors
Burden of proof (law),https://en.m.wikipedia.org/wiki/Burden_of_proof_(law),2018-05-16 10:25:23,Q9012745,
Café de olla,https://en.m.wikipedia.org/wiki/Caf%C3%A9_de_olla,2019-02-24 17:49:39,Q5739217,Mexican coffee drink
Cargo cult programming,https://en.m.wikipedia.org/wiki/Cargo_cult_programming,2019-03-26 07:23:32,Q1027351,Ritual inclusion of computer code that serve no purpose
Clever Hans,https://en.m.wikipedia.org/wiki/Clever_Hans,2017-02-25 11:40:54,Q1127291,Early 20th-century horse claimed to have been able to do mathematics
Codependency,https://en.m.wikipedia.org/wiki/Codependency,2016-06-05 14:51:10,Q21109,
Compulsion loop,https://en.m.wikipedia.org/wiki/Compulsion_loop,2019-07-16 01:53:15,Q30686626,
Conscientiousness,https://en.m.wikipedia.org/wiki/Conscientiousness,2018-11-13 19:43:01,Q1307067,Personality trait of being orderly and following the rules
Contrast effect,https://en.m.wikipedia.org/wiki/Contrast_effect,2017-08-29 23:49:43,Q166253,
Cumbia,https://en.m.wikipedia.org/wiki/Cumbia,2019-03-08 19:22:02,Q723418,Folkloric genre and dance from Colombia.
Cynefin framework,https://en.m.wikipedia.org/wiki/Cynefin_framework,2016-11-27 23:17:09,Q1147954,
Decoy effect,https://en.m.wikipedia.org/wiki/Decoy_effect,2019-01-05 05:39:09,Q205154,Phenomenon in marketing
Double bind,https://en.m.wikipedia.org/wiki/Double_bind,2018-12-18 20:14:19,Q1242876,Psychological dilemma
Dream pop,https://en.m.wikipedia.org/wiki/Dream_pop,2017-06-28 18:13:18,Q592330,
Dutch auction,https://en.m.wikipedia.org/wiki/Dutch_auction,2018-01-21 08:59:58,Q727746,"Type of auction which begins with a high asking price, and lowers it."
End-of-history illusion,https://en.m.wikipedia.org/wiki/End-of-history_illusion,2017-05-24 22:10:33,Q5375767,
Exceptionalism,https://en.m.wikipedia.org/wiki/Exceptionalism,2016-10-16 10:30:48,Q1076085,"belief that a species, country, society, institution, movement, individual, or time period is ""exceptional"
Extended file attributes,https://en.m.wikipedia.org/wiki/Extended_file_attributes,2018-07-01 01:59:35,Q2085509,
Externality,https://en.m.wikipedia.org/wiki/Externality,2017-06-19 07:54:31,Q275372,
False consensus effect,https://en.m.wikipedia.org/wiki/False_consensus_effect,2017-05-04 10:20:14,Q908850,Attributional type of cognitive bias
Falsifiability,https://en.m.wikipedia.org/wiki/Falsifiability,2018-01-24 21:10:08,Q220888,Possibility of a statement to be proven wrong by observation
Faust,https://en.m.wikipedia.org/wiki/Faust,2018-07-23 09:30:42,Q332885,Protagonist of a classic German legend
Fermat's principle,https://en.m.wikipedia.org/wiki/Fermat's_principle,2018-11-09 00:56:57,Q331041,Principle of least time
Florida Man,https://en.m.wikipedia.org/wiki/Florida_Man,2019-07-16 19:51:38,Q19879826,Internet meme about weird conduct by men from Florida
GQM,https://en.m.wikipedia.org/wiki/GQM,2017-07-17 17:18:52,Q1533422,
Hedonic treadmill,https://en.m.wikipedia.org/wiki/Hedonic_treadmill,2016-12-04 11:46:43,Q5697619,Psychological concept
Heuristic,https://en.m.wikipedia.org/wiki/Heuristic,2017-05-29 07:26:36,Q201413,
History of Chinese Americans,https://en.m.wikipedia.org/wiki/History_of_Chinese_Americans,2020-04-04 23:21:22,Q1516704,History of ethnic Chinese in the United States
Homomorphic encryption,https://en.m.wikipedia.org/wiki/Homomorphic_encryption,2018-07-30 16:34:22,Q2154943,A form of encryption that allows computation on ciphertexts
Hypocrisy,https://en.m.wikipedia.org/wiki/Hypocrisy,2016-06-02 13:37:55,Q201650,
Impact bias,https://en.m.wikipedia.org/wiki/Impact_bias,2019-12-30 16:51:49,Q6005882,
Inflection point,https://en.m.wikipedia.org/wiki/Inflection_point,2018-06-11 07:48:19,Q212794,Point where a curve crosses its tangent and the curvature changes of sign
Information hiding,https://en.m.wikipedia.org/wiki/Information_hiding,2018-07-17 10:14:44,Q15912075,
Ipso facto,https://en.m.wikipedia.org/wiki/Ipso_facto,2020-04-13 04:45:25,Q138653,
Jean-Michel Jarre,https://en.m.wikipedia.org/wiki/Jean-Michel_Jarre,2019-07-23 04:04:21,Q104326,
Kayfabe,https://en.m.wikipedia.org/wiki/Kayfabe,2019-01-23 04:02:22,Q387294,"In professional wrestling, the portrayal of staged events as if they were true"
Law of triviality,https://en.wikipedia.org/wiki/Law_of_triviality,2017-05-08 04:15:15,Q169899,Focusing on what is irrelevant but easy to understand
Anchoring,https://en.m.wikipedia.org/wiki/Anchoring,2016-06-05 07:08:06,Q557151,
Karōshi,https://en.m.wikipedia.org/wiki/Kar%C5%8Dshi,2016-12-04 11:53:25,Q1051107,
Chauvet Cave,http://en.m.wikipedia.org/wiki/Chauvet_Cave,2015-05-22 13:05:22,Q374096,Cave in France with best-preserved cave paintings
Linguistic relativity,https://en.m.wikipedia.org/wiki/Linguistic_relativity,2018-01-26 22:42:27,Q179677,linguistic hypothesis
Management by objectives,https://en.m.wikipedia.org/wiki/Management_by_objectives,2018-11-17 17:48:27,Q1045631,
Meno's slave,https://en.m.wikipedia.org/wiki/Meno%27s_slave,2017-06-12 06:21:43,Q10274722,
Menudo (soup),https://en.m.wikipedia.org/wiki/Menudo_(soup),2019-06-25 17:05:09,Q6817675,
Meritocracy,https://en.m.wikipedia.org/wiki/Meritocracy,2018-05-16 00:11:48,Q178079,
Merkle tree,https://en.m.wikipedia.org/wiki/Merkle_tree,2018-07-28 00:49:14,Q14746,
Nothing to hide argument,https://en.m.wikipedia.org/wiki/Nothing_to_hide_argument,2019-02-26 18:28:04,Q15627872,Argument that one doesn't need privacy unless someone is doing something wrong
Ontology,https://en.m.wikipedia.org/wiki/Ontology,2016-11-06 09:59:48,Q44325,"Study of the nature of being, becoming, existence or reality, as well as the basic categories of being and their relations"
Open-source intelligence,https://en.m.wikipedia.org/wiki/Open-source_intelligence,2016-10-21 22:07:04,Q1059178,
Overton window,https://en.m.wikipedia.org/wiki/Overton_window,2018-09-24 22:10:28,Q542950,Range of ideas tolerated in public discourse
PDCA,https://en.m.wikipedia.org/wiki/PDCA,2019-04-18 16:00:14,Q820214,
Paradox of value,https://en.m.wikipedia.org/wiki/Paradox_of_value,2019-05-18 19:09:39,Q915342,
Peak experience,https://en.m.wikipedia.org/wiki/Peak_experience,2016-10-11 11:56:47,Q2351257,
Peter principle,https://en.m.wikipedia.org/wiki/Peter_principle,2018-06-24 22:26:58,Q497359,Concept that people in a hierarchy are promoted until no longer competent
Possession is nine-tenths of the law,https://en.m.wikipedia.org/wiki/Possession_is_nine-tenths_of_the_law,2017-07-25 21:20:09,Q7233403,
Price elasticity of demand,https://en.m.wikipedia.org/wiki/Price_elasticity_of_demand,2017-07-03 17:52:16,Q3194154,
Prisoner's dilemma,https://en.m.wikipedia.org/wiki/Prisoner's_dilemma,2019-01-09 18:33:04,Q41693,Canonical example of a game analyzed in game theory
"Progress, plans, problems","https://en.m.wikipedia.org/wiki/Progress,_plans,_problems",2019-05-06 23:45:06,Q7248526,
Psychological contract,https://en.m.wikipedia.org/wiki/Psychological_contract,2018-11-13 02:50:31,Q1425431,
Quis custodiet ipsos custodes?,https://en.m.wikipedia.org/wiki/Quis_custodiet_ipsos_custodes%3F,2019-05-14 00:26:06,Q2357290,
Reactive programming,https://en.m.wikipedia.org/wiki/Reactive_programming,2017-05-18 09:03:55,Q4354073,
Reid technique,https://en.m.wikipedia.org/wiki/Reid_technique,2017-01-29 09:02:07,Q7310002,
Rubric (academic),https://en.m.wikipedia.org/wiki/Rubric_(academic),2018-06-23 10:27:18,Q847349,Scoring guide for assessment
S'more,https://en.m.wikipedia.org/wiki/S%27more,2019-11-21 19:44:03,Q2339814,
Saltine cracker,https://en.m.wikipedia.org/wiki/Saltine_cracker,2020-04-09 00:21:28,Q15060428,
Scientific management,https://en.m.wikipedia.org/wiki/Scientific_management,2018-11-13 22:05:06,Q203549,Theory of management
Scientism,https://en.m.wikipedia.org/wiki/Scientism,2018-09-24 01:38:52,Q193626,
Self-actualization,https://en.m.wikipedia.org/wiki/Self-actualization,2017-07-29 10:29:20,Q198827,
Semantic satiation,https://en.m.wikipedia.org/wiki/Semantic_satiation,2017-02-10 06:43:57,Q226007,
Silicon Beach,https://en.m.wikipedia.org/wiki/Silicon_Beach,2019-04-13 02:44:42,Q7514938,
Slavoj Žižek,https://en.m.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek,2017-09-11 11:01:46,Q184750,Slovene philosopher
Socratic method,https://en.m.wikipedia.org/wiki/Socratic_method,2017-06-12 06:16:41,Q839475,Type of dialog or debate
Spotlight effect,https://en.m.wikipedia.org/wiki/Spotlight_effect,2019-12-11 05:04:46,Q2312941,
Stable marriage problem,https://en.m.wikipedia.org/wiki/Stable_marriage_problem,2018-07-31 22:52:49,Q620702,
Subset sum problem,https://en.m.wikipedia.org/wiki/Subset_sum_problem,2018-11-17 04:45:44,Q1154420,
Syd Barrett,https://en.m.wikipedia.org/wiki/Syd_Barrett,2016-08-19 12:31:51,Q173061,
Tacit knowledge,https://en.m.wikipedia.org/wiki/Tacit_knowledge,2017-02-09 04:42:11,Q743861,
Teetotalism,https://en.m.wikipedia.org/wiki/Teetotalism,2019-01-10 06:16:30,Q15131448,Abstinence from alcoholic beverages
Terror management theory,https://en.m.wikipedia.org/wiki/Terror_management_theory,2017-05-24 22:10:53,Q1474856,Social and evolutionary psychology theory
The Myth of Sisyphus,https://en.m.wikipedia.org/wiki/The_Myth_of_Sisyphus,2017-06-12 06:20:42,Q1125903,1942 book by Albert Camus
Theory of mind,https://en.m.wikipedia.org/wiki/Theory_of_mind,2017-03-10 05:18:18,Q639219,Ability to attribute mental states to oneself and others
Transference,https://en.m.wikipedia.org/wiki/Transference,2017-09-24 09:09:02,Q334231,
Trolley problem,https://en.m.wikipedia.org/wiki/Trolley_problem,2017-04-08 23:20:38,Q1753199,Thought experiment in ethics
Uncertainty avoidance,https://en.m.wikipedia.org/wiki/Uncertainty_avoidance,2018-11-14 00:28:54,Q15514847,
Universal Darwinism,https://en.m.wikipedia.org/wiki/Universal_Darwinism,2017-06-03 23:09:38,Q7893935,An attempt to expand the application of Darwinian evolutionary theory to other fields
VRIO,https://en.m.wikipedia.org/wiki/VRIO,2018-11-16 01:20:13,Q7907491,
Visual language,https://en.m.wikipedia.org/wiki/Visual_language,2017-05-15 22:20:14,Q1659648,
Wim Hof,https://en.m.wikipedia.org/wiki/Wim_Hof,2019-01-18 16:23:47,Q926482,Dutch extreme athlete
Zeigarnik effect,https://en.m.wikipedia.org/wiki/Zeigarnik_effect,2016-10-15 20:50:09,Q184812,
A Modest Proposal,https://en.wikipedia.org/wiki/A_Modest_Proposal,2018-05-01 02:45:52,Q264143,1729 satirical essay by Jonathan Swift
